player_name,runs,balls,wickets,boundaries,strike_rate,id_cricinfo
E Lewis,1641,1077,0,233,152.37,431901
JE Root,940,814,6,108,115.48,303669
MN Samuels,1701,1908,27,214,89.15,52983
AU Rashid,218,2673,130,8,8.16,244497
CAK Walton,233,208,0,34,112.02,315586
KA Pollard,1769,2126,43,193,83.21,230559
R Powell,1704,1312,5,194,129.88,820351
CR Brathwaite,410,1026,34,35,39.96,457249
SP Narine,224,1272,56,18,17.61,230558
AR Nurse,103,321,8,10,32.09,315594
JE Taylor,201,732,37,16,27.46,53191
KOK Williams,87,606,46,2,14.36,450075
V Kohli,4376,3305,5,494,132.41,253802
TS Mills,45,356,17,1,12.64,459257
SK Raina,1731,1621,14,203,106.79,33335
BA Stokes,674,1120,29,64,60.18,311158
MM Ali,1342,1925,52,156,69.71,8917
Yuvraj Singh,1262,1337,33,151,94.39,36084
HH Pandya,1924,3014,91,214,63.84,625371
Parvez Rasool,6,30,1,0,20.0,378496
A Nehra,78,651,39,3,11.98,31820
A Mishra,13,234,17,0,5.56,31107
RR Pant,1294,996,0,155,129.92,931581
SR Thompson,366,739,21,35,49.53,414821
